food_name,major_category,sub_category,serving_size,kcal,moisture,carbohydrate,protein,fat,sugar,sodium,cholesterol
곰곰바닐라아이스크림,빙과류,아이스크림류(축산물가공품),100.0,103.0,0.0,11.39,1.9,5.51,10.97,32.0,13.71
곰곰스트로베리아이스크림,빙과류,아이스크림류(축산물가공품),100.0,177.0,0.0,22.36,2.53,8.65,21.52,20.0,17.3
곰곰초코아이스크림,빙과류,아이스크림류(축산물가공품),100.0,198.0,0.0,19.83,3.59,11.6,17.3,28.0,31.65
곰표밀눈아이스크림,빙과류,아이스크림류(축산물가공품),100.0,194.0,0.0,24.0,2.67,9.33,17.33,49.0,9.33
구구콘,빙과류,아이스크림류(축산물가공품),100.0,191.0,0.0,25.0,2.5,8.75,11.88,31.0,9.38
구구콘마다가스카르바닐라,빙과류,아이스크림류(축산물가공품),100.0,166.0,0.0,19.38,2.5,8.75,12.5,38.0,15.63
구구콘스타바닐라향&,빙과류,아이스크림류(축산물가공품),100.0,182.0,0.0,21.76,2.94,9.41,13.53,35.0,8.82
구구콘쿠키바닐라,빙과류,아이스크림류(축산물가공품),100.0,175.0,0.0,23.13,3.13,8.13,12.5,44.0,12.5
구구콘피넛버터,빙과류,아이스크림류(축산물가공품),100.0,184.0,0.0,23.75,3.13,8.13,14.38,59.0,12.5
구구크러스터,빙과류,아이스크림류(축산물가공품),100.0,145.0,0.0,19.0,2.0,6.0,9.0,40.0,15.0
구구크러스터바닐라,빙과류,아이스크림류(축산물가공품),100.0,150.0,0.0,17.0,2.0,8.0,13.0,45.0,10.0
구구크러스터벨기에초코,빙과류,아이스크림류(축산물가공품),100.0,145.0,0.0,19.0,2.0,6.0,9.0,35.0,15.0
구구크러스터컵,빙과류,아이스크림류(축산물가공품),100.0,152.0,0.0,20.0,2.76,6.9,8.97,34.0,13.79
구슬팡더블초코,빙과류,아이스크림류(축산물가공품),100.0,200.0,0.0,14.0,4.0,14.0,10.0,90.0,30.0
구운피스타치오&체리,빙과류,아이스크림류(축산물가공품),100.0,205.0,0.0,20.0,4.0,12.0,18.0,45.0,65.0
그래스하퍼아이스크림,빙과류,아이스크림류(축산물가공품),100.0,271.0,0.0,30.0,4.0,15.0,16.0,112.0,45.0
그레이프향,빙과류,아이스크림류(축산물가공품),100.0,120.0,0.0,14.0,2.0,6.0,14.0,35.0,13.0
그롬젤라도알커피,빙과류,아이스크림류(축산물가공품),100.0,168.0,0.0,17.0,2.5,10.0,16.0,0.0,100.0
그루비 블루베리,빙과류,아이스크림류(축산물가공품),100.0,273.0,0.0,26.67,2.53,17.33,22.67,68.0,0.0
그루비 스트라치아텔라,빙과류,아이스크림류(축산물가공품),100.0,330.0,0.0,30.67,3.87,21.33,26.67,57.0,0.0
그루비 크로칸티노,빙과류,아이스크림류(축산물가공품),100.0,317.0,0.0,28.0,3.33,21.33,24.0,173.0,0.0
그루비 피스타치오,빙과류,아이스크림류(축산물가공품),100.0,327.0,0.0,26.67,4.0,22.67,25.33,104.0,0.0
그릭요거트,빙과류,아이스크림류(축산물가공품),100.0,115.0,0.0,17.0,3.0,4.2,14.0,40.0,10.0
그릭요거트바,빙과류,아이스크림류(축산물가공품),100.0,218.0,0.0,21.18,2.35,12.94,18.82,53.0,11.76
그릭요거트바스트로베리,빙과류,아이스크림류(축산물가공품),100.0,218.0,0.0,21.18,2.35,12.94,18.82,41.0,11.76
그릭요거트콘,빙과류,아이스크림류(축산물가공품),100.0,150.0,0.0,22.5,2.5,5.63,15.0,31.0,6.25
그릭요거트홈,빙과류,아이스크림류(축산물가공품),100.0,115.0,0.0,17.0,3.0,4.1,14.0,45.0,10.0
그린티,빙과류,아이스크림류(축산물가공품),100.0,270.0,0.0,32.7,4.86,13.24,29.46,60.0,64.86
그린티&아몬드아이스크림바,빙과류,아이스크림류(축산물가공품),100.0,321.0,0.0,22.88,5.13,23.25,20.88,54.0,66.25
그린티마카롱,빙과류,아이스크림류(축산물가공품),100.0,306.0,0.0,40.0,5.94,13.44,31.88,38.0,40.31
그린티모찌아이스크림,빙과류,아이스크림류(축산물가공품),100.0,238.0,0.0,41.86,2.71,6.59,26.36,41.0,21.32
그린티비너스,빙과류,아이스크림류(축산물가공품),100.0,185.0,0.0,16.0,3.0,12.0,15.0,50.0,65.0
그린티아이스크림,빙과류,아이스크림류(축산물가공품),100.0,129.0,0.0,12.0,2.0,8.0,11.0,24.0,12.0
그린티아이스크림,빙과류,아이스크림류(축산물가공품),100.0,218.0,0.0,19.6,3.9,13.7,19.1,53.0,79.0
그린티초코바,빙과류,아이스크림류(축산물가공품),100.0,210.0,0.0,21.11,2.22,13.33,16.67,66.0,18.89
