id,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
66,male,1.0673834,0.2558514,0.23403727,-0.7101385,-0.8610315,-0.1106447,0.769518,0.92191964,-0.013871633
67,male,1.4823576,0.24702504,-0.06589632,-0.19512688,-0.5038796,-0.23694296,0.009874958,0.509916,0.07557502
68,male,1.4823576,0.24702504,-0.06589632,-0.19512688,-0.5038796,-0.23694296,0.009874958,0.509916,0.07557502
69,male,1.3599637,0.39796782,0.08630988,-0.17157161,-0.752756,-0.14962068,0.61600673,1.212551,0.0043213465
70,male,1.1647512,0.12461357,0.07077192,-0.47610405,-0.7374789,-0.16666342,0.5356571,0.78563356,0.059086382
71,male,1.7016333,0.57388645,0.02506579,-0.37383223,-0.3245196,-0.22179532,-0.26055035,0.21827877,-0.052353352
72,male,1.1585846,-0.20085873,-0.14394036,-0.37682226,-0.6359728,-0.2466036,0.19152875,0.42509615,0.15010658
73,male,1.1860241,-0.24784939,-0.21039267,-0.1978222,-0.6605142,-0.25747278,0.23897792,0.5860608,0.17924923
74,male,1.2962723,0.09062628,-0.048126265,-0.3022663,-0.56868464,-0.2172878,0.22862403,0.58034027,0.096792944
75,male,1.4838368,0.25735098,-0.058535922,-0.19414386,-0.48022592,-0.23308727,0.029166168,0.5068471,0.08042809
76,male,1.159781,0.24402809,0.15020734,-0.5646947,-0.7496532,-0.13654675,0.6239122,0.86760616,-0.0022566195
77,male,1.1142738,0.27568263,0.20260663,-0.59524536,-0.81429946,-0.11599136,0.7596463,0.9891679,-0.008370269
78,male,1.4447136,0.5753099,0.17544073,-0.46089274,-0.69115376,-0.13204075,0.4427929,0.9184538,-0.10462907
79,male,1.4937311,0.6650395,0.19758964,-0.44305596,-0.6075342,-0.12734099,0.40160206,0.90054095,-0.12366669
80,male,1.1442541,0.2283838,0.1532524,-0.5866584,-0.76493144,-0.13546711,0.6367247,0.85889757,0.00043559886
81,male,1.5075464,0.56451875,0.10167806,-0.30607116,-0.6963772,-0.14764267,0.3960195,1.0372277,-0.11925811
82,male,1.1059302,0.20780674,0.15030979,-0.51198024,-0.8444394,-0.12745032,0.76537526,1.0621423,0.004094893
83,male,1.2069496,0.37374434,0.21678293,-0.46544728,-0.7834294,-0.12311231,0.7223938,1.0127854,0.039338816
84,male,1.3929954,0.28842047,0.020028424,-0.3764271,-0.54420596,-0.19630258,0.18662989,0.5830289,0.010329042
85,male,1.4306067,0.60079324,0.20512368,-0.5071466,-0.63038266,-0.1271019,0.42788142,0.8495643,-0.10459443
86,male,1.577207,0.50376904,0.05209507,-0.40441775,-0.46022314,-0.19927838,-0.029439105,0.43463793,-0.054520585
87,male,1.0904204,0.31255347,0.24003398,-0.5953025,-0.8829629,-0.097266875,0.8900964,1.1386672,-0.020927778
88,male,1.5396196,0.78312,0.261367,-0.543356,-0.57512,-0.111379616,0.3812603,0.8199226,-0.15705527
89,male,1.3907125,0.60214597,0.22680509,-0.46950334,-0.69331986,-0.110491514,0.58893675,1.0259346,-0.096807435
90,male,1.5161964,0.7708868,0.25113502,-0.39785784,-0.6920511,-0.101557136,0.5663999,1.127112,-0.1409007
91,male,1.2172322,0.24787155,0.09502461,-0.4021966,-0.8163568,-0.14328992,0.65806687,1.068588,-0.009690209
92,male,1.2647613,0.31788167,0.11661059,-0.35418206,-0.789047,-0.14670593,0.6158342,1.0551016,0.010660588
93,male,1.6375289,0.7016546,0.10915501,-0.13013248,-0.6453387,-0.15225743,0.36234176,1.1121681,-0.08656978
94,male,1.3331099,0.3355315,0.08375163,-0.41310677,-0.6527138,-0.167868,0.36839956,0.79180163,-0.021671264
95,male,1.5434213,0.6083401,0.11887752,-0.3160223,-0.6185871,-0.15299505,0.31482038,0.9131712,-0.09959096
96,male,1.1509541,0.29735225,0.18761997,-0.53879637,-0.80516285,-0.11960425,0.7419099,1.0227783,-0.010010608
