id,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
67,female,0.009135409,0.42628765,0.49357593,0.13123035,-0.25541678,0.37329504,-0.33915147,0.1424784,0.18454434
68,female,0.009135409,0.42628765,0.49357593,0.13123035,-0.25541678,0.37329504,-0.33915147,0.1424784,0.18454434
69,female,0.066108115,0.42082983,0.14926848,0.26079834,-0.25512195,0.7402854,-0.38637418,0.54314774,1.0191994
70,female,0.02980724,0.031554993,0.06031825,0.18533303,-0.3438088,0.4184778,-0.3619917,0.4294957,0.60881925
71,female,0.003355322,0.85907954,0.4841839,0.15131299,-0.36535662,0.020258179,-0.53465915,-0.05794769,0.040548563
72,female,-0.00064847735,-0.20996542,0.391442,0.040820744,-0.2694078,0.34359625,-0.23116161,0.2520606,0.02036758
73,female,0.0217171,-0.21768597,0.50747526,0.03792184,-0.19288255,0.5310715,-0.16586214,0.34203893,0.07229076
74,female,0.0035356663,0.1454908,0.33965465,0.11335117,-0.28348774,0.38957,-0.26517075,0.2774671,0.26431835
75,female,0.00982726,0.43892184,0.4866662,0.13430177,-0.2604003,0.36363822,-0.31696308,0.1637328,0.17731273
76,female,0.028570825,0.11627414,-0.07758639,0.21500005,-0.39291158,0.38561437,-0.4247121,0.46234146,0.7956789
77,female,0.036114432,0.09591143,-0.18665384,0.25220525,-0.40630946,0.43685573,-0.44308633,0.5310805,0.9713717
78,female,0.0651313,0.6046467,0.050430536,0.27290082,-0.37993035,0.3804202,-0.6069476,0.37483925,0.8883395
79,female,0.0489733,0.7311254,0.05101023,0.27136064,-0.393946,0.3471599,-0.58224654,0.35090724,0.89244926
80,female,0.030998271,0.08708653,-0.092128955,0.2169163,-0.3978951,0.37528917,-0.4331146,0.4660619,0.7916917
81,female,0.07574923,0.65568167,0.18553162,0.24833241,-0.31427184,0.52259517,-0.5926481,0.39217848,0.9241368
82,female,0.041596998,0.03820983,-0.1195928,0.23272945,-0.3627588,0.537177,-0.41317686,0.5588428,0.9823858
83,female,0.043944437,0.25796232,-0.116244525,0.30246228,-0.3709571,0.5030523,-0.41481388,0.51155835,0.9747202
84,female,0.011254518,0.37190863,0.28166282,0.14692552,-0.33121195,0.30006093,-0.3947555,0.23332787,0.3703515
85,female,0.042577635,0.62393516,0.0042203604,0.2658054,-0.4110538,0.30709106,-0.57328415,0.34783182,0.85411966
86,female,0.017140409,0.68794674,0.3494373,0.17201458,-0.36227056,0.14977808,-0.5346265,0.08154355,0.28503036
87,female,0.052056737,0.09641188,-0.2641436,0.28851944,-0.4063066,0.51537174,-0.46884984,0.6116791,1.155502
88,female,0.054736,0.8529371,-0.014014123,0.30344683,-0.4467057,0.21924324,-0.65712816,0.3180694,0.8887255
89,female,0.059433807,0.58831024,-0.05606105,0.29656538,-0.39560464,0.42481762,-0.5520173,0.46401432,1.0314958
90,female,0.08372196,0.8198167,-0.019122595,0.34136164,-0.38158214,0.47576457,-0.63206637,0.46618438,1.1562266
91,female,0.061031338,0.16247223,0.028054195,0.2255584,-0.31955457,0.58071876,-0.4392926,0.53329706,0.92156327
92,female,0.05394997,0.26389962,0.045325547,0.25126085,-0.31262922,0.58945817,-0.42971116,0.49088663,0.92333287
93,female,0.08997942,0.883431,0.28400913,0.2999538,-0.26713943,0.6232168,-0.5591894,0.39757478,0.9632063
94,female,0.021193413,0.34752586,0.13381313,0.18951224,-0.3444711,0.39601475,-0.44397923,0.32439184,0.6596605
