food_name,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
그릭요거트바스트로베리,male,-0.17697196532240528,0.1943329577160984,-0.16404841615649232,-0.2793862921923761,0.05497539954280606,-0.2845238640036985,-0.17545788462675554,-0.23279857204427593,-0.2031103116670902
그릭요거트콘,male,-0.40999878190934186,0.23668022326369506,-0.1341286890090469,-0.20720902871749225,0.00757755562135386,-0.15803780713465965,-0.053737932448458495,-0.11775773893577392,-0.12125124357456304
그릭요거트홈,male,-0.4908199099579668,0.14661835349864036,-0.12027099263821987,-0.16085974317256269,0.07261794748346251,-0.12814220889187944,-0.035737199985126936,-0.13463685023097755,-0.11834765788273491
그린티,male,0.2986282651944759,-0.06687430885110623,-0.03907985487109282,-0.046439924926119334,0.9005358360535445,-0.5177064139126464,-0.24377432585834788,-0.07955105868109466,-0.10969501650879143
그린티&아몬드아이스크림바,male,0.4005633240388266,-0.36317291953728353,-0.1655217958736031,-0.2682962153398,0.7479167556115086,-0.6132508098763473,-0.38143191615754407,-0.20408812996672362,-0.10587517366166246
그린티마카롱,male,0.3225887778454684,0.24590330608276037,-0.07217813630373694,-0.14897585386842205,0.5780648898073388,-0.3997419632005026,-0.14617201026285676,-0.11278599367955616,-0.1943113050640193
그린티모찌아이스크림,male,-0.018552250987678865,0.41801824864394405,-0.05950187044004127,-0.10812903388356467,0.29455111725055144,-0.2921579744504158,-0.09161484544881349,-0.009510771539810572,-0.12048734115757104
그린티비너스,male,-0.06356366907488842,-0.4032034228648298,-0.09988862661358183,-0.10318665392394666,0.7804600526282682,-0.493548892456487,-0.283312565098987,-0.07744124682764651,0.008755948262477695
그린티아이스크림,male,-0.4828668262352131,0.03312796980570829,-0.16602408709857927,-0.2491072526664083,0.043874209837169,-0.20346856412405506,-0.11704966036327649,-0.18543354995404404,-0.11696092030829637
그린티아이스크림,male,0.12559610168560853,-0.45824795638623617,-0.07489359645382672,-0.06518742073507248,1.0029634303051131,-0.5740880599426375,-0.3162479290260863,-0.06312006585438913,0.008394839870844262
그린티초코바,male,-0.16009652915444333,0.08136292978933932,-0.16048536318006476,-0.24946892169094337,0.1173257046336259,-0.3142045079322176,-0.20950476696436807,-0.2004330559166297,-0.15257765322133066
글라세다쿠아즈그린티,male,-0.1269129390223858,-0.0031871491895399244,-0.09068722965215499,-0.1119398157746,0.44832320792575187,-0.30001653416564383,-0.1414480424486752,-0.15193345814861353,-0.13479953946674808
끌레도르그린티바,male,-0.08187892903854974,-0.22030780958232876,-0.10096847764672022,-0.11120786748067443,0.5924393092578009,-0.38634075341772905,-0.2097718594677728,-0.10979894524641833,-0.05380378080465114
끌레도르더블쿠키페스티벌파인트,male,-0.017987728686438418,-0.09394903742405922,-0.07987053935815472,-0.06439685171150544,0.5163601964811411,-0.35983381612797616,-0.2003616918719875,-0.07030579189992071,-0.052891796147981715
끌레도르딸기콘,male,-0.21592094377499801,0.2292652288393812,-0.11954570628422873,-0.17762267183322836,0.10416086989661522,-0.2070035959590849,-0.0910206309286886,-0.12634998648394968,-0.14113145491315385
끌레도르레드카펫치즈케이크컵,male,0.055732719804611947,-0.13005102887160302,-0.08340465613279102,-0.08173889271889007,0.5975093553677819,-0.41975809824541577,-0.2463233293812024,-0.12421366468114993,-0.09223484640908408
끌레도르레드카펫치즈케이크콘,male,-0.1397359608880015,-0.028460834957675537,-0.0944871599218027,-0.06547033725507925,0.2761220440766052,-0.28887086196344647,-0.20229302734315907,-0.10172581415903492,-0.06877289879389267
끌레도르민트바,male,0.07657914080399737,0.0470956229926414,-0.16978301698832243,-0.28233638725289495,0.2263900352026892,-0.41506589815679334,-0.2795129571979148,-0.2256836451493306,-0.1760227560557495
끌레도르바닐라아몬드콘,male,-0.038490907731153386,0.10011155040516068,-0.1645312535045363,-0.26535746637257557,0.13749295757710767,-0.2954414108467349,-0.17283657477900957,-0.18494814944399232,-0.15561290149638246
끌레도르바닐라파인트,male,-0.0014240581393542408,-0.46929998236527104,-0.10912818497401178,-0.12020892923295919,0.8333925216020588,-0.5414940508927888,-0.32373878014758045,-0.09458185397598155,0.008851436938234529
끌레도르소프트콘리치밀크,male,0.00979911230640081,0.1089254085715276,-0.13529059390585452,-0.1864751331644355,0.16065228755228766,-0.33564405547679865,-0.23449884325079334,-0.16308141894866185,-0.14116035479201983
끌레도르소프트콘쿠키&크림,male,0.00979911230640081,0.1089254085715276,-0.13529059390585452,-0.1864751331644355,0.16065228755228766,-0.33564405547679865,-0.23449884325079334,-0.16308141894866185,-0.14116035479201983
끌레도르쇼콜라치즈케이크컵,male,0.16311484440117524,-0.2644325561828372,-0.049361802390525,-0.012271582323930098,0.8712041615359556,-0.5164835215263263,-0.2913722644046923,-0.05595862848544561,-0.0295203000996371
끌레도르심플리퓨어그린티녹차파인트,male,-0.0762392451927209,-0.21964117159256083,-0.10183678619566928,-0.1132505832830705,0.591098846077689,-0.3873129717001066,-0.2102220319458044,-0.10902511344224085,-0.0534355829933315
끌레도르아몬드크런치바,male,0.2279919700816616,0.11905942759317875,-0.2433736621258036,-0.4313781983599783,-0.04490170157212235,-0.3851075556819153,-0.2882625296249787,-0.30243526766196166,-0.2338237554135569
끌레도르와플콘쿠키,male,-0.344172319516203,0.11556181969355853,-0.11574997720770208,-0.15608647838864406,0.16672715793261156,-0.21710992378527694,-0.10415308373332813,-0.12444507509570629,-0.11000735586172425
끌레도르원스인어블루베리파인트,male,-0.35405758288020706,0.1691924992644276,-0.07357301930300357,-0.07490357616375914,0.25021904274842105,-0.1867167771025519,-0.06417714701165082,-0.10555655174749015,-0.12216853966105173
끌레도르초코프레첼&브라우니청키파인트,male,-0.0994980640011758,0.007481224820026217,-0.12167889516707234,-0.16009560887730356,0.2950677264927427,-0.2893192162308347,-0.153118518618696,-0.10744407575640791,-0.08675115577156166
끌레도르쿠앤크콘,male,0.032749011840169866,0.09379270852940153,-0.13951416125837535,-0.1938704498307165,0.1670901709596754,-0.30223315206210505,-0.1987913601363417,-0.1695264150628097,-0.14791142002641663
나뚜루그린티스트롱,male,0.002236535739794477,-0.3333049484607907,-0.11594591461546043,-0.14890462839090152,0.7132275567202939,-0.468033954021977,-0.25341881344508815,-0.08856840073638096,-0.01639412497465841
나뚜루녹차,male,0.03284577927540326,-0.4355670271869431,-0.09929455777640869,-0.1056467969675592,0.8521269242895666,-0.5114708570467951,-0.2818642856843587,-0.06878991648895977,0.013082363234293869
